0;1000;403;ayala-alvarado;1989-03-25
1;999;466;jones-johnson;2021-09-12
2;998;240;ross;1984-04-09
3;997;815;henry-boone;1997-03-26
4;996;316;castaneda-roberts;2009-06-19
5;995;387;mitchell;1993-07-22
6;994;46;foster;1994-11-09
7;993;777;lynch;1982-08-03
8;992;708;decker-shepard;1998-04-10
9;991;966;barton;1973-01-01
10;990;446;sanders;1977-03-08
11;989;676;jones;1970-03-09
12;988;21;jones;2001-08-17
13;987;180;armstrong;1996-08-29
14;986;937;clark;1983-10-25
15;985;239;mercado;2010-11-14
16;984;768;lewis-wagner;2007-05-25
17;983;952;dougherty;2003-01-03
18;982;580;anderson;2012-04-08
19;981;936;williams-golden;1993-11-20
20;980;38;alvarez;1991-02-07
21;979;958;cox;2000-02-29
22;978;110;long-howard;1988-08-19
23;977;758;smith;2017-08-14
24;976;565;good;1992-08-10
25;975;660;taylor;1978-05-30
26;974;179;foster-brown;2019-11-11
27;973;63;rogers;1976-06-21
28;972;447;sims;2012-01-05
29;971;457;pearson;1972-12-17
30;970;683;zamora;1986-02-20
31;969;112;ritter;2016-01-02
32;968;250;jensen;1971-09-15
33;967;381;villanueva;2013-05-26
34;966;110;strong;2008-05-11
35;965;66;murphy;2014-07-31
36;964;879;smith-gardner;1973-01-25
37;963;634;curry;1992-06-29
38;962;379;lynch;1974-03-14
39;961;71;gray-moore;1972-07-19
40;960;526;jones;1989-01-25
41;959;293;odonnell;2014-08-07
42;958;917;robinson-thornton;1995-01-02
43;957;462;lee;2004-04-13
44;956;900;olson-harris;2008-08-28
45;955;166;rodriguez-rhodes;2008-10-21
46;954;508;watson;2000-02-29
47;953;794;anderson;2016-03-05
48;952;767;reeves;2013-03-06
49;951;911;garcia;1996-03-14
50;950;678;bowman;1994-05-09
51;949;520;powers-alvarado;1970-01-13
52;948;632;rosales;2018-01-17
53;947;358;berry;1985-11-06
54;946;343;anderson;1998-02-17
55;945;675;hill;2002-10-05
56;944;87;campbell;2005-04-27
57;943;955;baldwin-burke;2002-07-11
58;942;716;allen-figueroa;1981-02-22
59;941;660;white;2022-03-04
60;940;796;martinez-allen;1974-03-13
61;939;387;gardner;2014-11-02
62;938;117;wright;2011-11-09
63;937;862;ayala-andrade;1978-02-26
64;936;318;brewer;1987-12-26
65;935;242;alexander-cole;2019-02-20
66;934;154;bates-roberts;2012-03-15
67;933;955;adams;2011-07-04
68;932;428;escobar;1971-05-11
69;931;490;pierce;1982-01-14
70;930;864;wheeler;2006-12-03
71;929;550;jones;1994-02-20
72;928;255;small;2001-01-20
73;927;55;cooper-bailey;2002-11-06
74;926;302;butler;2003-02-07
75;925;852;wood;2019-09-11
76;924;724;kramer;1980-04-23
77;923;230;bridges;2005-06-10
78;922;859;knox-freeman;2009-05-13
79;921;105;hall;1984-05-26
80;920;311;fleming;2000-09-17
81;919;885;butler-thomas;1982-04-01
82;918;676;adams-evans;2004-01-28
83;917;387;james;1979-03-22
84;916;396;turner-mcdonald;1970-02-20
85;915;163;barton;2017-01-10
86;914;571;sanders;1981-11-05
87;913;524;sandoval-travis;2012-04-12
88;912;785;whitney-harvey;2008-03-26
89;911;585;obrien;1997-05-19
90;910;227;taylor;2022-11-19
91;909;681;patterson;2003-11-06
92;908;145;zavala;1970-10-05
93;907;571;mcdaniel-davis;2006-09-04
94;906;334;roth;2021-05-02
95;905;975;ali-evans;2004-04-13
96;904;889;barber-hoover;2002-12-19
97;903;79;kent;1994-12-25
98;902;200;hartman;1985-06-20
99;901;117;woods;2018-04-15
100;900;212;collier;1981-08-31
101;899;664;pierce;2010-10-26
102;898;499;bernard;1980-07-02
103;897;382;franklin;1974-01-03
104;896;1000;bowers-hodge;1977-12-01
105;895;607;acosta;1974-02-26
106;894;462;wiley;1973-07-19
107;893;334;bean-sutton;1984-10-19
108;892;6;barber;1998-06-27
109;891;69;stevens-smith;1996-05-04
110;890;197;morales;2012-12-16
111;889;648;leon;2020-06-27
112;888;128;collins;1987-12-21
113;887;948;rich;2002-10-21
114;886;828;clark;2004-12-28
115;885;169;lynn;1986-07-23
116;884;131;powell-watson;2013-02-03
117;883;955;fitzpatrick-meza;1995-05-06
118;882;298;ortiz;1992-07-21
119;881;339;lozano;1983-09-06
120;880;791;mitchell;1977-06-19
121;879;526;jimenez;1979-04-03
122;878;517;becker;1998-10-02
123;877;240;mckenzie;2003-04-02
124;876;958;rodriguez-martin;2005-07-23
125;875;923;wood;1985-09-01
126;874;476;hurley;2022-09-16
127;873;4;anderson;1970-11-26
128;872;127;sawyer;1984-08-20
129;871;579;phelps;1983-01-10
130;870;559;houston-alvarez;1990-07-30
131;869;145;reed-bartlett;1998-02-18
132;868;900;leon;2008-06-30
133;867;435;vance;1994-12-26
134;866;29;spencer;2018-06-30
135;865;197;brock;2002-11-06
136;864;694;cook;1978-07-11
137;863;994;johnson;2016-01-02
138;862;20;taylor;2021-02-16
139;861;726;byrd;2001-09-23
140;860;825;francis-lee;2006-02-06
141;859;839;carroll-jackson;2019-06-09
142;858;432;burton;2001-02-11
143;857;123;thompson;2003-04-14
144;856;111;garcia;2014-11-18
145;855;842;liu-rodriguez;1976-04-21
146;854;46;mckinney;2006-11-03
147;853;257;hutchinson-massey;1987-05-19
148;852;504;bautista;1982-09-08
149;851;322;baldwin-wilkins;2002-01-05
150;850;234;garcia;1972-11-09
151;849;956;shields-richmond;2011-03-18
152;848;559;jones-guerra;2008-11-21
153;847;735;rodriguez-mathis;1999-05-17
154;846;211;manning;2011-05-11
155;845;432;bell-hicks;2017-03-16
156;844;621;alexander;2017-09-19
157;843;934;lawson-vargas;2015-11-03
158;842;863;chase;1970-11-01
159;841;827;thompson;1985-09-03
160;840;644;richardson-mccarty;1974-08-15
161;839;816;porter;2014-08-21
162;838;313;williams;2005-05-22
163;837;839;hall;1976-12-29
164;836;952;wise;1970-10-21
165;835;806;campbell-molina;1974-02-22
166;834;342;watkins;2008-06-20
167;833;307;sharp;2010-03-18
168;832;264;palmer;1989-08-04
169;831;944;johnson;2005-06-15
170;830;612;austin-cox;2004-07-23
171;829;810;jones;1995-09-08
172;828;160;pham-larson;2005-01-29
173;827;698;boyd-may;2010-09-21
174;826;989;roth;2013-09-23
175;825;131;lewis-montgomery;2002-05-10
176;824;511;hernandez;1977-03-20
177;823;990;howard;2002-02-01
178;822;30;rodriguez;2004-12-22
179;821;251;guerrero;2010-04-14
180;820;791;hale-garcia;2019-06-19
181;819;444;lopez;2003-12-04
182;818;961;owens-mckenzie;1980-11-03
183;817;319;wolf;1977-03-21
184;816;241;krause;2001-06-21
185;815;536;gutierrez;1991-09-17
186;814;600;gray;1976-11-30
187;813;140;williams;1976-01-26
188;812;62;walker-kelley;2000-11-21
189;811;834;rowe;2020-12-08
190;810;372;orr;2021-11-25
191;809;368;dunn-young;1995-07-07
192;808;541;sanchez-sutton;1979-06-11
193;807;649;ellis-bass;1983-12-17
194;806;805;warren;1986-12-25
195;805;890;bell;2011-09-22
196;804;867;sanders-williams;1976-09-29
197;803;117;booth;2002-10-07
198;802;90;anderson;2023-01-11
199;801;556;floyd;1993-12-08
200;800;42;kramer;2022-07-26
201;799;235;brewer-harvey;1988-11-25
202;798;638;burns-snyder;1974-06-24
203;797;1;gutierrez;1982-11-08
204;796;279;patterson;2001-12-31
205;795;144;santiago;1986-04-08
206;794;466;butler-price;1993-02-27
207;793;131;alexander;2006-09-01
208;792;146;neal;2007-11-02
209;791;362;taylor;1983-06-24
210;790;110;lambert;1982-09-28
211;789;689;foley;1991-08-20
212;788;346;tucker;1997-09-07
213;787;27;harris-baker;2015-11-12
214;786;263;scott-wright;1996-01-10
215;785;714;nelson;2005-04-01
216;784;158;taylor;1974-04-27
217;783;823;mcneil;1979-05-01
218;782;955;johnson;2021-01-21
219;781;129;davis;2010-09-15
220;780;162;kelly;1971-07-01
221;779;94;dalton-dennis;1994-09-11
222;778;509;odonnell-peters;2015-09-11
223;777;272;davis;1989-05-14
224;776;868;carrillo-morales;1991-12-22
225;775;143;wallace-lopez;2015-11-19
226;774;246;cook;1985-03-06
227;773;301;clark-morgan;2021-04-11
228;772;130;stevens;2007-01-21
229;771;170;fowler;2018-01-11
230;770;567;moses-rodriguez;2020-09-17
231;769;507;chavez;2020-10-01
232;768;950;payne;1983-10-20
233;767;411;wright;1973-05-27
234;766;296;wilson;1997-02-03
235;765;330;jenkins;1972-09-04
236;764;695;moore;2019-03-12
237;763;196;carter;1985-09-14
238;762;471;sharp;2003-07-03
239;761;607;fisher-johnson;2003-12-10
240;760;392;trevino;1981-05-07
241;759;302;miller;1999-11-02
242;758;90;hall;1982-08-24
243;757;651;brennan;1989-05-18
244;756;711;mckinney;1990-07-08
245;755;173;hamilton;2011-04-20
246;754;300;hardin-roth;2007-11-30
247;753;550;guzman-stone;2014-12-13
248;752;496;hunt;1982-07-27
249;751;458;ponce;2008-08-14
250;750;339;winters-liu;1993-07-26
251;749;963;tanner;1986-11-30
252;748;666;callahan;1973-11-25
253;747;509;day-williams;2014-01-24
254;746;7;campbell-wright;1985-10-30
255;745;499;perez;1998-02-11
256;744;494;smith-mcclain;1971-05-11
257;743;0;clark-dean;1999-01-30
258;742;76;wright;1993-05-22
259;741;774;ray;2020-07-28
260;740;292;fisher-terry;1972-07-21
261;739;722;oneill;1985-04-12
262;738;483;king-berger;1992-01-15
263;737;380;turner-rosales;1986-04-24
264;736;461;doyle;1972-05-31
265;735;45;jarvis;2014-11-06
266;734;900;johnson;2016-06-23
267;733;351;murphy-armstrong;1973-11-18
268;732;644;buck;1979-05-10
269;731;525;bradley-perry;2000-03-13
270;730;786;jones-hanson;1995-05-30
271;729;281;shea-smith;1989-08-27
272;728;591;maldonado-roman;1974-05-13
273;727;487;chang;1989-08-13
274;726;789;dean;1983-03-14
275;725;986;williams;2004-05-31
276;724;558;robinson;2005-04-27
277;723;719;graham;2023-03-19
278;722;197;harper;1984-01-23
279;721;961;garcia-barber;2012-11-10
280;720;871;salazar;1980-08-07
281;719;948;flores;2005-02-01
282;718;881;jensen;2007-05-25
283;717;371;calderon-wade;2001-02-02
284;716;393;mcclain;2007-04-19
285;715;142;byrd-stevens;1975-02-06
286;714;144;lee;1977-03-19
287;713;669;joyce-lucas;1976-05-06
288;712;973;sherman;1979-09-29
289;711;633;edwards;2003-04-25
290;710;218;king;2013-11-26
291;709;23;clark;1973-01-03
292;708;823;rich;2017-12-16
293;707;121;howell;2016-12-11
294;706;27;lara;1995-04-18
295;705;688;todd-nguyen;1972-05-25
296;704;773;johnson-miller;2013-02-08
297;703;925;ingram;2007-10-28
298;702;359;carroll-simpson;1987-02-19
299;701;73;haynes-abbott;2005-02-22
300;700;538;oconnor;1972-07-10
301;699;494;miller;1989-03-29
302;698;31;gutierrez-bowers;1971-03-13
303;697;772;miller-obrien;2021-12-14
304;696;796;fritz-powell;1977-07-16
305;695;790;harris;1984-07-23
306;694;847;stanley;2011-07-03
307;693;794;adkins;1978-11-12
308;692;667;cantrell;2004-09-06
309;691;911;morales-french;2017-11-21
310;690;977;james-gilbert;2007-08-20
