0;0;0;True;True
1;1;1;True;True
2;2;2;True;False
3;3;3;False;True
4;4;4;False;True
5;5;5;True;False
6;6;6;True;False
7;7;7;True;False
8;8;8;True;False
9;9;9;True;True
10;10;10;False;True
11;11;11;False;True
12;12;12;False;True
13;13;13;True;True
14;14;14;False;False
15;15;15;False;False
16;16;16;False;True
17;17;17;False;False
18;18;18;False;True
19;19;19;False;True
20;20;20;True;False
21;21;21;False;False
22;22;22;True;True
23;23;23;True;False
24;24;24;False;False
25;25;25;True;False
26;26;26;False;False
27;27;27;True;False
28;28;28;True;True
29;29;29;False;False
30;30;30;False;False
